county,Species,value
Baringo,Camels,19263
Baringo,Cattle(Beef),383626
Baringo,Cattle(Dairy),147496
Baringo,Cattle(Total),531122
Baringo,Chicken(Broilers),15906
Baringo,Chicken(Indigenous),31173
Baringo,Chicken(Layers),1251753
Baringo,Chicken(Total),1298832
Baringo,Donkeys,4443
Baringo,Goat(Total),1053794
Baringo,Goats(Dairy),7743
Baringo,Goats(Meat),1046051
Baringo,Pigs,350
Baringo,Rabbits,6503
Baringo,Sheep(Hair),380921
Baringo,Sheep(Total),399360
Baringo,Sheep(Wool),18439
Bomet,Camels,0
Bomet,Cattle(Beef),7947
Bomet,Cattle(Dairy),329946
Bomet,Cattle(Total),337893
Bomet,Chicken(Broilers),13851
Bomet,Chicken(Indigenous),96343
Bomet,Chicken(Layers),961090
Bomet,Chicken(Total),1071284
Bomet,Donkeys,9895
Bomet,Goat(Total),156356
Bomet,Goats(Dairy),82762
Bomet,Goats(Meat),73594
Bomet,Pigs,358
Bomet,Rabbits,6685
Bomet,Sheep(Hair),77249
Bomet,Sheep(Total),166099
Bomet,Sheep(Wool),88850
Bungoma,Camels,0
Bungoma,Cattle(Beef),288165
Bungoma,Cattle(Dairy),183783
Bungoma,Cattle(Total),471948
Bungoma,Chicken(Broilers),21982
Bungoma,Chicken(Indigenous),56634
Bungoma,Chicken(Layers),3123769
Bungoma,Chicken(Total),3202385
Bungoma,Donkeys,12754
Bungoma,Goat(Total),158849
Bungoma,Goats(Dairy),6939
Bungoma,Goats(Meat),151910
Bungoma,Pigs,18227
Bungoma,Rabbits,40541
Bungoma,Sheep(Hair),141092
Bungoma,Sheep(Total),142452
Bungoma,Sheep(Wool),1360
Busia,Camels,0
Busia,Cattle(Beef),269917
Busia,Cattle(Dairy),35976
Busia,Cattle(Total),305893
Busia,Chicken(Broilers),13005
Busia,Chicken(Indigenous),60780
Busia,Chicken(Layers),1739979
Busia,Chicken(Total),1813764
Busia,Donkeys,311
Busia,Goat(Total),108916
Busia,Goats(Dairy),2586
Busia,Goats(Meat),106330
Busia,Pigs,86220
Busia,Rabbits,5461
Busia,Sheep(Hair),49415
Busia,Sheep(Total),49415
Busia,Sheep(Wool),0
Elgeyo Marakwet,Camels,557
Elgeyo Marakwet,Cattle(Beef),124729
Elgeyo Marakwet,Cattle(Dairy),280385
Elgeyo Marakwet,Cattle(Total),405114
Elgeyo Marakwet,Chicken(Broilers),4054
Elgeyo Marakwet,Chicken(Indigenous),20209
Elgeyo Marakwet,Chicken(Layers),675814
Elgeyo Marakwet,Chicken(Total),700077
Elgeyo Marakwet,Donkeys,3886
Elgeyo Marakwet,Goat(Total),376868
Elgeyo Marakwet,Goats(Dairy),2485
Elgeyo Marakwet,Goats(Meat),374383
Elgeyo Marakwet,Pigs,635
Elgeyo Marakwet,Rabbits,2562
Elgeyo Marakwet,Sheep(Hair),222819
Elgeyo Marakwet,Sheep(Total),443694
Elgeyo Marakwet,Sheep(Wool),220875
Embu,Camels,11851
Embu,Cattle(Beef),200678
Embu,Cattle(Dairy),134493
Embu,Cattle(Total),335171
Embu,Chicken(Broilers),25622
Embu,Chicken(Indigenous),70363
Embu,Chicken(Layers),629057
Embu,Chicken(Total),725042
Embu,Donkeys,6
Embu,Goat(Total),387301
Embu,Goats(Dairy),49927
Embu,Goats(Meat),337374
Embu,Pigs,28833
Embu,Rabbits,31192
Embu,Sheep(Hair),57919
Embu,Sheep(Total),57919
Embu,Sheep(Wool),0
Garissa,Camels,491280
Garissa,Cattle(Beef),1153105
Garissa,Cattle(Dairy),399105
Garissa,Cattle(Total),1552210
Garissa,Chicken(Broilers),204000
Garissa,Chicken(Indigenous),129456
Garissa,Chicken(Layers),261150
Garissa,Chicken(Total),594606
Garissa,Donkeys,134422
Garissa,Goat(Total),1924862
Garissa,Goats(Dairy),267
Garissa,Goats(Meat),1924595
Garissa,Pigs,0
Garissa,Rabbits,141
Garissa,Sheep(Hair),1036163
Garissa,Sheep(Total),1036163
Garissa,Sheep(Wool),0
Homa Bay,Camels,0
Homa Bay,Cattle(Beef),385137
Homa Bay,Cattle(Dairy),12203
Homa Bay,Cattle(Total),397340
Homa Bay,Chicken(Broilers),4856
Homa Bay,Chicken(Indigenous),18558
Homa Bay,Chicken(Layers),4600514
Homa Bay,Chicken(Total),4623928
Homa Bay,Donkeys,10354
Homa Bay,Goat(Total),557256
Homa Bay,Goats(Dairy),5147
Homa Bay,Goats(Meat),552109
Homa Bay,Pigs,15497
Homa Bay,Rabbits,4328
Homa Bay,Sheep(Hair),297464
Homa Bay,Sheep(Total),297464
Homa Bay,Sheep(Wool),0
Isiolo,Camels,162516
Isiolo,Cattle(Beef),166184
Isiolo,Cattle(Dairy),6764
Isiolo,Cattle(Total),172948
Isiolo,Chicken(Broilers),14539
Isiolo,Chicken(Indigenous),29068
Isiolo,Chicken(Layers),105077
Isiolo,Chicken(Total),148684
Isiolo,Donkeys,39283
Isiolo,Goat(Total),1092000
Isiolo,Goats(Dairy),1255
Isiolo,Goats(Meat),1090745
Isiolo,Pigs,476
Isiolo,Rabbits,824
Isiolo,Sheep(Hair),883010
Isiolo,Sheep(Total),883010
Isiolo,Sheep(Wool),0
Kajiado,Camels,2653
Kajiado,Cattle(Beef),378400
Kajiado,Cattle(Dairy),137500
Kajiado,Cattle(Total),515900
Kajiado,Chicken(Broilers),1004948
Kajiado,Chicken(Indigenous),156617
Kajiado,Chicken(Layers),324284
Kajiado,Chicken(Total),1485849
Kajiado,Donkeys,40102
Kajiado,Goat(Total),1036872
Kajiado,Goats(Dairy),3453
Kajiado,Goats(Meat),1033419
Kajiado,Pigs,51318
Kajiado,Rabbits,15694
Kajiado,Sheep(Hair),959654
Kajiado,Sheep(Total),959654
Kajiado,Sheep(Wool),0
Kakamega,Camels,9
Kakamega,Cattle(Beef),320621
Kakamega,Cattle(Dairy),106845
Kakamega,Cattle(Total),427466
Kakamega,Chicken(Broilers),344492
Kakamega,Chicken(Indigenous),434247
Kakamega,Chicken(Layers),3445882
Kakamega,Chicken(Total),4224621
Kakamega,Donkeys,2413
Kakamega,Goat(Total),129535
Kakamega,Goats(Dairy),10074
Kakamega,Goats(Meat),119461
Kakamega,Pigs,83299
Kakamega,Rabbits,61721
Kakamega,Sheep(Hair),86038
Kakamega,Sheep(Total),86488
Kakamega,Sheep(Wool),450
Kericho,Camels,0
Kericho,Cattle(Beef),111398
Kericho,Cattle(Dairy),281601
Kericho,Cattle(Total),392999
Kericho,Chicken(Broilers),8810
Kericho,Chicken(Indigenous),49641
Kericho,Chicken(Layers),505099
Kericho,Chicken(Total),563550
Kericho,Donkeys,15000
Kericho,Goat(Total),84805
Kericho,Goats(Dairy),2068
Kericho,Goats(Meat),82737
Kericho,Pigs,1322
Kericho,Rabbits,6874
Kericho,Sheep(Hair),53001
Kericho,Sheep(Total),65196
Kericho,Sheep(Wool),12195
Kiambu,Camels,0
Kiambu,Cattle(Beef),29875
Kiambu,Cattle(Dairy),273836
Kiambu,Cattle(Total),303711
Kiambu,Chicken(Broilers),439334
Kiambu,Chicken(Indigenous),1605513
Kiambu,Chicken(Layers),1339610
Kiambu,Chicken(Total),3384457
Kiambu,Donkeys,6667
Kiambu,Goat(Total),85934
Kiambu,Goats(Dairy),15182
Kiambu,Goats(Meat),70752
Kiambu,Pigs,96682
Kiambu,Rabbits,25135
Kiambu,Sheep(Hair),88457
Kiambu,Sheep(Total),128654
Kiambu,Sheep(Wool),40197
Kilifi,Camels,2490
Kilifi,Cattle(Beef),236893
Kilifi,Cattle(Dairy),31993
Kilifi,Cattle(Total),268886
Kilifi,Chicken(Broilers),227010
Kilifi,Chicken(Indigenous),82056
Kilifi,Chicken(Layers),702740
Kilifi,Chicken(Total),1011806
Kilifi,Donkeys,767
Kilifi,Goat(Total),476770
Kilifi,Goats(Dairy),3480
Kilifi,Goats(Meat),473290
Kilifi,Pigs,2766
Kilifi,Rabbits,5123
Kilifi,Sheep(Hair),68084
Kilifi,Sheep(Total),68084
Kilifi,Sheep(Wool),0
Kirinyaga,Camels,0
Kirinyaga,Cattle(Beef),41100
Kirinyaga,Cattle(Dairy),89889
Kirinyaga,Cattle(Total),130989
Kirinyaga,Chicken(Broilers),499050
Kirinyaga,Chicken(Indigenous),44600
Kirinyaga,Chicken(Layers),383848
Kirinyaga,Chicken(Total),927498
Kirinyaga,Donkeys,5055
